category,name,price,description,veg_nonveg,spice_level
Value Meals,Special Party for 2 (Non-Veg) @Rs. 115 off,₹729.14,Meal for 2: Regular Pepper BBQ Chicken + Regular Chicken Dominator with Garlic Bread & Coke,Non-Veg,Normal
Value Meals,Spicy Non Veg Combo @ Rs. 95 Off,₹619,Reg Blazing ChK & Paprika + Reg Fiery Sausage & Paprika + GB + Coke,Non-Veg,Spicy
Value Meals,Meal for 4: Margherita & Peppy Paneer,₹758.80,Medium Margherita + Medium Peppy Paneer + Garlic Bread + 2 Coke,Veg,Normal
Value Meals,Meal for 2: Farmhouse & Veg Extravaganza,₹639.14,Regular Farmhouse & Regular Veg Extravaganza + Garlic Bread+ Coke,Veg,Normal
Value Meals,Meal for 4: Veg Cheesy Pizza,₹819,Regular Fresh Veggie + Regular Peppy Paneer + Regular Corn n Cheese + Regular Farmhouse,Veg,Normal
Value Meals,Spicy Veg Party Combo @ Rs. 140 off,₹869,Med Blazing On & Paprika + Med Fiery Jalapeno & Paprika + 2GB + 2 Coke,Veg,Spicy
Value Meals,Meal for 4: Non Veg Pizza Mania Value,₹479,2 PM Pepper Barbecue Chicken + PM Chicken Sausage + PM Non Veg Loaded,Non-Veg,Normal
Value Meals,Spicy Non Veg Party Combo @ Rs. 180 off,₹1049,Med Blazing ChK & Paprika + Med Fiery Sausage & Paprika + 2GB + 2 Coke,Non-Veg,Spicy
Value Meals,Meal for 2: Veg Paradise & Farmhouse,₹609.14,Regular Veg Paradise + Regular Farmhouse + Garlic Bread + Coke,Veg,Normal
Value Meals,Spicy Veg Combo @ Rs. 75 Off,₹499,Reg Blazing On & Paprika + Reg Fiery Jalapeno & Paprika + GB + Coke,Veg,Spicy
Value Meals,Garlic Breadsticks + Cheesy Dip,₹137.57,Enjoy the all-time favorite Garlic Breadsticks with the indulgent Cheesy Dip,Veg,Normal
Value Meals,Hot and Sweet Veg Combo @ Rs. 75 Off,₹499,Reg Blazing Onion & Paprika + Reg Fiery Jalapeno & Paprika + CLC + Coke,Veg,Spicy
Dominos Classics,Margherita Pizza,₹109,"Classic delight with 100% real mozzarella cheese. Available in Cheese Burst, Wheat Thin Crust and Pan Crust options.",Veg,Normal
Dominos Classics,Blazing Onion & Paprika,₹199,Hot & spicy pizza with onion & red paprika toppings and a new spicy peri peri sauce on a Domino's cheesy base.,Veg,Spicy
Dominos Classics,Fiery Jalapeno & Paprika,₹199,Spiciest veg pizza with jalapeno & red paprika toppings and a new spicy peri peri sauce.,Veg,Spicy
Dominos Classics,Double Cheese Margherita Pizza,₹219,A classic delight loaded with extra 100% real mozzarella cheese,Veg,Normal
Dominos Classics,Fresh Veggie Pizza,₹229,"Delectable combination of onion & capsicum, a veggie lovers pick",Veg,Normal
Dominos Classics,Cheese n Corn Pizza,₹219,A delectable combination of sweet & juicy golden corn,Veg,Normal
Dominos Classics,Peppy Paneer Pizza,₹279,"Flavorful trio of juicy paneer, crisp capsicum with spicy red paprika",Veg,Spicy
Dominos Classics,Chicken Sausage Pizza,₹219,"American classic! Spicy, herbed chicken sausage on pizza",Non-Veg,Spicy
Dominos Classics,Pepper Barbecue Chicken Pizza,₹259,"Pepper barbecue chicken for that extra zing. Available in Cheese Burst, Wheat Thin Crust and Pan Crust options.",Non-Veg,Normal
Dominos Classics,Blazing Chicken & Paprika,₹269,Hot & spicy chicken pizza with a combination of chicken keema & red paprika toppings and a new spicy peri peri sauce.,Non-Veg,Spicy
Dominos Classics,Fiery Sausage & Paprika,₹269,Spiciest non veg pizza with spicy & herby chicken sausage and red paprika toppings on a new spicy peri peri sauce base.,Non-Veg,Spicy
Dominos Classics,Spiced Double Chicken,₹329,Delightful combination of our spicy duo- Pepper Barbecue Chicken and Peri Peri Chicken for Chicken Lovers.,Non-Veg,Spicy
Dominos Classics,Chicken Golden Delight Pizza,₹319,"Double pepper barbecue chicken, golden corn and extra cheese, true delight",Non-Veg,Normal
Dominos Classics,Chicken Pepperoni Pizza,₹389,"A classic American taste! Relish the delectable flavor of Chicken Pepperoni, topped with extra cheese",Non-Veg,Normal
Loaded Pizza,Veggie Paradise Pizza,₹279,"The awesome foursome! Golden corn, black olives, capsicum, red paprika",Veg,Normal
Loaded Pizza,Farmhouse Pizza,₹269,"Delightful combination of onion, capsicum, tomato & grilled mushroom. Available in Cheese Burst, Wheat Thin Crust and Pan Crust options.",Veg,Normal
Loaded Pizza,Mexican Green Wave Pizza,₹279,"Mexican herbs sprinkled on onion, capsicum, tomato & jalapeno",Veg,Normal
Loaded Pizza,Veg Extravaganza Pizza,₹329,"Black olives, capsicum, onion, grilled mushroom, corn, tomato, jalapeno & extra cheese. Available in Cheese Burst, Wheat Thin Crust and Pan Crust options.",Veg,Normal
Loaded Pizza,Cheese Overload,₹379,"Cheese Overloaded Pizza with a medley of Mozzarella, Cheddar & Ghost Pepper flavoured Cheese.",Veg,Normal
Loaded Pizza,Chicken Fiesta Pizza,₹349,"Grilled chicken rashers, peri-peri chicken, onion & capsicum, a complete fiesta",Non-Veg,Normal
Loaded Pizza,Chicken Dominator Pizza,₹399,"Loaded with double pepper barbecue chicken, peri-peri chicken, chicken tikka & grilled chicken rashers. Available in Cheese Burst, Wheat Thin Crust and Pan Crust options.",Non-Veg,Normal
Loaded Pizza,Non Veg Supreme Pizza,₹409,"Supreme combination of black olives, onion, capsicum, grilled mushroom, pepper barbecue chicken, peri-peri chicken & grilled chicken rashers",Non-Veg,Normal
Loaded Pizza,The 5 Chicken Feast Pizza,₹399,"Loaded with 5 different Chicken toppings - grilled Chicken Rashers, Chicken Meatballs, Chicken Tikka, herby Chicken Sausage and flavorful Chicken Keema",Non-Veg,Normal
Flavours of India,Achari Do Pyaza Pizza,₹209,Tangy & spicy achari flavours on a super cheesy onion pizza- as desi as it gets!,Veg,Spicy
Flavours of India,Corn n Cheese Paratha Pizza,₹209,A crazy fusion like never before. A delicious fusion of corn stuffed paratha and cheesy pizza.,Veg,Normal
Flavours of India,Indi Tandoori Paneer Pizza,₹339,"It is hot. It is spicy. It is oh-so-Indian. Tandoori paneer with capsicum, red paprika & mint mayo. Available in Cheese Burst, Wheat Thin Crust and Pan Crust options.",Veg,Spicy
Flavours of India,Chicken Keema Paratha Pizza,₹259,Flavourful & meaty chicken keema paratha and goodness of cheesy pizza coming together in an epic crossover!,Non-Veg,Normal
Flavours of India,Indi Chicken Tikka Pizza,₹399,"The wholesome flavour of tandoori masala with Chicken tikka, onion, red paprika & mint mayo",Non-Veg,Normal
Gourmet Pizza Range,Primavera Gourmet-Pizza,₹549,"Gourmet veggie delight with bocconcini, zucchini, bell peppers, and mushrooms.",Veg,Normal
Gourmet Pizza Range,Al Fungi Gourmet-Pizza,₹549,Gourmet mushroom pizza on a cheesy Mozzarella base with jalapenos & cherry tomatoes.,Veg,Normal
Gourmet Pizza Range,Chicken Pepperoni Gourmet-Pizza,₹629,The classic Italian gourmet pizza with bocconcini cheese and chicken pepperoni.,Non-Veg,Normal
Gourmet Pizza Range,Smoked Chicken Gourmet-Pizza,₹629,"Gourmet non-veg delight with bocconcini, juicy chicken, olives, bellpeppers & basil pesto.",Non-Veg,Normal
Gourmet Pizza Range,Quattro Formaggi Gourmet-Pizza,₹549,"Gourmet cheesy delight with bocconcini, mozzarella, cheddar and ghost pepper cheese.",Veg,Normal
Pizza Mania,Chicken Keema & Onion with Desi Makhani Sauce,₹149,Authentic Indian Flavor of Makhani Sauce loaded with meaty Chicken Keema and crunchy Onion.,Non-Veg,Normal
Pizza Mania,"Paneer, Onion & Capsicum with Desi Makhani Sauce",₹129,"Authentic Indian Flavor of Makhani Sauce loaded with juicy Paneer, crisp Capsicum and crunchy Onion.",Veg,Normal
Pizza Mania,Non Veg Loaded,₹199,"Chicken sausage, pepper barbecue chicken & peri-peri chicken in a fresh pan crust",Non-Veg,Normal
Pizza Mania,Veg Loaded,₹189,"Tomato, Jalapeno, Corn, Grilled Mushroom & crushed Aranchini Patty in a fresh pan crust",Veg,Normal
Pizza Mania,Paneer & Capsicum with Videshi Hot Sauce,₹109,Internationally inspired Hot sauce to cater your spice cravings loaded with juicy Paneer and crisp Capsicum.,Veg,Spicy
Pizza Mania,Capsicum & Red Paprika with Videshi Hot Sauce,₹89,Internationally inspired Hot sauce to cater your spice cravings loaded with crisp Capsicum and spicy Red Paprika.,Veg,Spicy
Pizza Mania,Pepper Barbecue Chicken,₹119,Pepper barbecue chicken for that extra zing,Non-Veg,Normal
Pizza Mania,Chicken Sausage,₹109,"American classic! Spicy, herbed chicken sausage on pizza",Non-Veg,Spicy
Pizza Mania,Golden Corn,₹89,Sweet & juicy golden corn for that lipsmacking taste,Veg,Normal
Pizza Mania,Onion,₹69,Our classic Pizza Mania topped with crunchy Onions,Veg,Normal
Pizza Mania,Classic,₹49,A classic pizza topped with sprinkle of basil and parsley herbs,Veg,Normal
Garlic Breads & More,Korean Corn & Jalapeno Garlic Bread,₹189,"Freshly baked garlic bread infused with Korean Sweet Chili Sauce, Molten cheese, juicy corn & tangy jalapeno",Veg,Normal
Garlic Breads & More,Fiery Corn & Jalapeno Garlic Bread,₹189,"Freshly baked garlic bread infused with Spicy Guntur Sauce, Molten cheese, juicy corn & tangy jalapeno",Veg,Spicy
Garlic Breads & More,Makhani Corn & Jalapeno Garlic Bread,₹189,"Freshly baked garlic bread infused with Creamy Makhani Sauce, Molten cheese, juicy corn & tangy jalapeno",Veg,Normal
Garlic Breads & More,Korean Paneer Tikka Garlic Bread,₹189,"Freshly Baked Stuffed Garlic Bread infused with Korean Sweet Chili Sauce, Molten Cheese, Onion and Paneer Tikka fillings",Veg,Normal
Garlic Breads & More,Fiery Paneer Tikka Garlic Bread,₹189,"Freshly Baked Stuffed Garlic Bread infused with Spicy Guntur Sauce, Molten Cheese, Onion and Paneer Tikka fillings",Veg,Spicy
Garlic Breads & More,Makhani Paneer Tikka Garlic Bread,₹189,"Freshly Baked Stuffed Garlic Bread infused with Creamy Makhani Sauce, Molten Cheese, Onion and Paneer Tikka fillings",Veg,Normal
Garlic Breads & More,Korean Pepperoni Garlic Bread,₹189,"Freshly Baked Garlic Bread infused with Korean Sweet Chili Sauce, Delectable Chicken Pepperoni & molten Cheese",Non-Veg,Normal
Garlic Breads & More,Fiery Pepperoni Garlic Bread,₹189,"Freshly Baked Garlic Bread infused with Spicy Guntur Sauce, Delectable Chicken Pepperoni & molten Cheese",Non-Veg,Spicy
Garlic Breads & More,Makhani Pepperoni Garlic Bread,₹189,"Freshly Baked Garlic Bread infused with Creamy Makhani Sauce, Delectable Chicken Pepperoni & molten Cheese",Non-Veg,Normal
Garlic Breads & More,Garlic Breadsticks + Cheesy Dip,₹137.57,Enjoy the all-time favorite Garlic Breadsticks with the indulgent Cheesy Dip,Veg,Normal
Garlic Breads & More,Garlic Breadsticks,₹119,Baked to perfection. Your perfect pizza partner! Tastes best with dip,Veg,Normal
Garlic Breads & More,Classic Stuffed Garlic Bread,₹169,"Freshly baked garlic bread with cheese, juicy corn & tangy jalapeno",Veg,Normal
Garlic Breads & More,Cheesy Dip,₹28.57,An all-time favorite with your Garlic Breadsticks & Stuffed Garlic Bread for a Cheesy indulgence,Veg,Normal
Garlic Breads & More,Paneer Tikka Stuffed Garlic Bread,₹179,"Freshly Baked Stuffed Garlic Bread with Cheese, Onion and Paneer Tikka fillings. Comes with a dash of Basil Parsley Sprinkle on top",Veg,Normal
Garlic Breads & More,Chicken Pepperoni Stuffed Garlic Bread,₹189,"Freshly Baked Garlic Bread stuffed with Delectable Chicken Pepperoni, Cheese and sprinkled with Basil Parsley",Non-Veg,Normal
Garlic Breads & More,Taco Mexicana Veg,₹155,Truly irresistible! Crispy taco with veg patty & creamy harissa sauce,Veg,Normal
Garlic Breads & More,Taco Mexicana Non Veg,₹189,Truly irresistible! Crispy taco with non-veg patty & creamy harissa sauce,Non-Veg,Normal
